NOME_SOCIAL,CNPJ_CPF,SITUACAO,DT_REGISTRO,UF,MUNICIPIO,CATEG_REG,SUBCATEG,EMAIL,SITE,TELEFONE,LOGRADOURO,COMPL,CEP,PATRIM_LIQ,DT_PATRIM,CONTROLE,IS_MFO,SCORE_MA,N_SOCIOS
ANDBANK GESTAO DE PATRIMONIO FINANCEIRO LTDA,09.664.936/0001-91,EM FUNCIONAMENTO NORMAL,2011-05-17,SP,SÃO PAULO,Gestor de Carteira,,jose.campos@andbank.com.br,www.andbank.com.br,30957070,"AVENIDA BRIGADEIRO FARIA LIMA, 2179",8ºAND CJ 81 PARTE,1452000,,,PRIVADO,True,8.0,9
GALAPAGOS WEALTH MANAGEMENT GESTÃO DE INVESTIMENTOS LTDA,11.438.570/0001-84,EM FUNCIONAMENTO NORMAL,2014-09-24,SP,SÃO PAULO,Gestor de Carteira,,itamar.pacheco@galapagoscapital.com,www.galapagoscapital.com,37773607,AVENIDA REBOUÇAS 3507,1º PARTE,5401400,,,PRIVADO,True,8.0,1
GENESIS CAPITAL GESTORA DE RECURSOS LTDA.,16.995.968/0001-35,EM FUNCIONAMENTO NORMAL,2013-01-10,SP,SÃO PAULO,Gestor de Carteira,,contato@genesiscapital.com.br,www.genesiscapital.com.br,49939400,RUA IGUATEMI,"448, CONJUNTO 602",1451010,,,PRIVADO,True,8.0,1
FORTUNE GESTORA DE RECURSOS LTDA.,35.646.759/0001-20,EM FUNCIONAMENTO NORMAL,2021-02-11,SP,SÃO PAULO,Gestor de Carteira,,contato@fortunewm.com.br,www.fortunewm.com.br,40630826,"AVENIDA ANGÉLICA, 2.510",SALAS 125 A 128,1228200,,,PRIVADO,True,8.0,3
SETTA GESTÃO E GOVERNANÇA PATRIMONIAL LTDA.,30.034.266/0001-16,EM FUNCIONAMENTO NORMAL,2018-07-16,RJ,RIO DE JANEIRO,Gestor de Carteira,,legal@settaggp.com,https://www.settaggp.com/,31389696,"RUA RAINHA GUILHERMINA, 75",1ª PARTE (PARTE),22441120,,,PRIVADO,True,8.0,16
SEVEN POUNDS ASSET MANAGEMENT LTDA.,39.433.649/0001-31,EM FUNCIONAMENTO NORMAL,2021-07-14,SP,SÃO PAULO,Gestor de Carteira,,adm@sevenpounds.com.br,www.sevenpounds.com.br,30615522,"RUA ESTADOS UNIDOS, 840/SL 01",,1427001,,,PRIVADO,True,8.0,1
PORTOGALLO INVESTIMENTOS LTDA.,32.007.649/0001-20,EM FUNCIONAMENTO NORMAL,2020-02-19,SP,SÃO PAULO,Gestor de Carteira,,compliance@portogalloinvestimentos.com.br,www.portogalloinvestimentos.com.br,30786830,"RUA TABAPUA, 111/6º ANDAR CJ 62",,4533010,,,PRIVADO,True,8.0,7
PORTOFINO GESTÃO DE RECURSOS LTDA.,17.590.181/0001-56,EM FUNCIONAMENTO NORMAL,2013-09-18,SP,SÃO PAULO,Gestor de Carteira,,compliance@pmfo.com.br,www.portofinomultifamilyoffice.com.br,25924484,"RUA LEOPOLDO COUTO MAGALHAES JUNIOR, 758",CJ 111 E 112,4542000,,,PRIVADO,True,8.0,9
PMFO ESPORTES E ENTRETENIMENTO GESTAO DE RECURSOS LTDA,07.913.960/0001-91,EM FUNCIONAMENTO NORMAL,2011-06-20,SP,SÃO PAULO,Gestor de Carteira,,compliance.pfe@pmfo.com.br,https://portofinomultifamilyoffice.com.br/esportes,25924484,"RUA LEOPOLDO COUTO MAGALHAES JR, 758",111 E 112,4542000,,,PRIVADO,True,8.0,8
OIKOS GESTÃO DE RECURSOS LTDA.,23.313.334/0001-10,EM FUNCIONAMENTO NORMAL,2016-08-17,SP,SÃO PAULO,Gestor de Carteira,,compliance@oikoswm.com,www.oikoswm.com,25074756,RUA JERONIMO DA VEIGA 45,CJ 63,4536000,,,PRIVADO,True,8.0,6
OPPORTUNITY AUSTER WEALTH MANAGEMENT LTDA.,15.319.547/0001-21,EM FUNCIONAMENTO NORMAL,2012-06-21,RJ,RIO DE JANEIRO,Gestor de Carteira,,atendimento@oawm.com.br,www.opportunityauster.com,30333300,"Avenida Borges de Medeiros, 633",sala 302,22430041,,,PRIVADO,True,8.0,20
PEAK WEALTH ADVISORY GESTORA DE RECURSOS LTDA.,18.734.175/0001-98,EM FUNCIONAMENTO NORMAL,2014-01-29,SP,SÃO PAULO,Gestor de Carteira,,rodrigo.sousa@apexw.com,www.peakw.com.br,34599120,"RUA PROFESSOR ATTILIO INNOCENTI , 474",CONJ 901,4538001,,,PRIVADO,True,8.0,3
MERCURY GESTÃO DE RECURSOS LTDA.,39.938.506/0001-81,EM FUNCIONAMENTO NORMAL,2021-06-28,SP,SÃO PAULO,Gestor de Carteira,,erika.alves@mercurygestao.com.br,www.mercurygestao.com.br,45505188,"AV. BRIGADEIRO LUIS ANTONIO, 4554",,1402002,,,PRIVADO,True,8.0,2
KINEA PRIVATE EQUITY INVESTIMENTOS S/A,04.661.817/0001-61,EM FUNCIONAMENTO NORMAL,2013-08-01,SP,SÃO PAULO,Gestor de Carteira,,relacionamento.reguladores@itau-unibanco.com.br,www.kinea.com.br,50199872,"R. MINAS DE PRATA, 30",4º ANDAR,4552080,,,PRIVADO,True,8.0,0
LEGEND WM GESTÃO DE RECURSOS LTDA.,34.076.827/0001-09,EM FUNCIONAMENTO NORMAL,2020-04-23,SP,SÃO PAULO,Gestor de Carteira,,juridico@legendcapital.com.br,legendwm.com.br,54647100,"AV. BRIG. FARIA LIMA, 3900, 6.º ANDAR",SALA 602 (PARTE),4538132,,,PRIVADO,True,8.0,40
GHT4 WEALTH MANAGEMENT LTDA.,10.807.094/0001-69,EM FUNCIONAMENTO NORMAL,2015-12-24,SP,SÃO PAULO,Gestor de Carteira,,contato@loyall.com.br,https://ght4.com/,30801500,"RUA AUGUSTA, 2840",2 ANDAR,1412100,,,PRIVADO,True,8.0,2
BASÍLICA PARTNERS LATIN AMERICA PRIVATE EQUITY LTDA.,24.979.104/0001-58,EM FUNCIONAMENTO NORMAL,2021-11-16,SP,SÃO PAULO,Gestor de Carteira,,acbernardi@basilicapartners.com,www.basilicapartners.com,33821513,"RUA PEDROSO ALVARENGA, 900",CJ. 52,4531003,,,PRIVADO,True,8.0,2
WEALTH HIGH GOVERNANCE ASSET MANAGEMENT LTDA.,39.563.738/0001-00,EM FUNCIONAMENTO NORMAL,2021-07-15,SP,SÃO PAULO,Gestor de Carteira,,whg.compliance@whg.com.br,www.whg.com.br,35092334,"AV. CIDADE JARDIM, 803",7º ANDAR CJ 72,1453000,,,PRIVADO,True,8.0,32
WEALTH HIGH GOVERNANCE CAPITAL LTDA.,34.848.969/0001-39,EM FUNCIONAMENTO NORMAL,2020-04-07,SP,SÃO PAULO,Gestor de Carteira,,whg.compliance@whg.com.br,www.whg.com.br,35092334,"AV. CIDADE JARDIM, Nº 803","7º ANDAR, CJ 72",1453001,,,PRIVADO,True,8.0,53
SONATA GESTORA DE RECURSOS LTDA,29.996.127/0001-94,EM FUNCIONAMENTO NORMAL,2018-06-20,SP,SÃO PAULO,Gestor de Carteira,,isabela.scuracchio@sonatainvest.com.br,www.sonatainvest.com.br,33849883,RUA FUNCHAL 263,1 ANDAR CJ 11,4551060,,,PRIVADO,True,8.0,6
VITRA GESTÃO DE PATRIMONIO LTDA,30.406.191/0001-57,EM FUNCIONAMENTO NORMAL,2018-09-04,SP,SÃO PAULO,Gestor de Carteira,,compliance@vitracapital.com,https://vitracapital.com,42103476,"RUA IGUATEMI, 151",7 ANDAR,1451011,,,PRIVADO,True,8.0,10
WE CAPITAL INVESTIMENTOS LTDA.,17.305.299/0001-95,EM FUNCIONAMENTO NORMAL,2013-03-28,SP,SÃO PAULO,Gestor de Carteira,,compliance@wecapital.com.br,www.wecapital.com.br,31350570,"RUA IGUATEMI, 151",CJ. 231,1451011,,,PRIVADO,True,8.0,2
SASTRE GESTÃO DE PATRIMÔNIO LTDA.,27.222.262/0001-57,EM FUNCIONAMENTO NORMAL,2017-12-29,SP,SÃO PAULO,Gestor de Carteira,,sastre@sastregp.com.br,www.sastregestaodepatrimonio.com.br,30749900,"RUA JOAQUIM FLORIANO, 1.120","CJ 81, ANDAR 8, SALA 01",4534004,,,PRIVADO,True,8.0,6
RBR PRIVATE EQUITY GESTÃO DE RECURSOS LTDA.,40.147.051/0001-65,EM FUNCIONAMENTO NORMAL,2021-05-14,SP,SÃO PAULO,Gestor de Carteira,,legal@rbrasset.com.br,www.rbrasset.com.br/rbrprivateequity,40835105,"AV. PRES. JUSCELINO KUBITSCHEK, 1.400/CJ 122 SL 01",12º ANDAR,4543000,,,PRIVADO,True,8.0,9
PRISMA PRIVATE  CREDIT LTDA.,36.358.004/0001-93,EM FUNCIONAMENTO NORMAL,2021-01-14,SP,SÃO PAULO,Gestor de Carteira,,compliance@prismacapital.com,https://www.prismacapital.com/realestate/,48583744,"AV. BRIGADEIRO FARIA LIMA, 2601",11º ANDAR,1452000,,,PRIVADO,True,8.0,2
PRAGMA GESTÃO DE PATRIMÔNIO LTDA,04.920.763/0001-01,EM FUNCIONAMENTO NORMAL,2007-05-04,SP,SÃO PAULO,Gestor de Carteira,,guerra@pragmabr.com,www.pragmabr.com,30351550,"RUA AMAURI, 255",3 ANDAR,1448000,,,PRIVADO,True,7.5,15
AZIMUT BRASIL WEALTH MANAGEMENT LTDA,03.829.051/0001-19,EM FUNCIONAMENTO NORMAL,2000-06-26,SP,SÃO PAULO,Gestor de Carteira,,leonardo.monoli@azimutwealth.com.br,www.azimutwealth.com.br,35527656,LEOPOLDO COUTO DE MAGALHÃES JR,Nº 758 - 14º ANDAR,4542000,,,PRIVADO,True,7.5,28
CREDIT SUISSE HEDGING-GRIFFO WEALTH MANAGEMENT S.A.,68.328.632/0001-12,EM FUNCIONAMENTO NORMAL,1997-08-13,SP,SÃO PAULO,Gestor de Carteira,,ol-brazil-governance@ubs.com,https://br.credit-suisse.com/site/index.seam,37018844,LEOPOLDO COUTO MAGALHÃES JR.700,11º ANDAR,4542000,,,PRIVADO,True,7.5,0
GALAPAGOS MULTI FAMILY OFFICE LTDA,05.794.902/0001-60,EM FUNCIONAMENTO NORMAL,2007-11-28,SP,SÃO PAULO,Gestor de Carteira,,itamar.pacheco@galapagoscapital.com,https://galapagoscapital.com/,37772088,"AV REBOUÇAS, 3507",1 ANDAR PARTE,5401400,,,PRIVADO,True,7.5,1
ARANDU WM GESTORA DE PATRIMÔNIO LTDA,05.119.639/0001-04,EM FUNCIONAMENTO NORMAL,2002-12-02,SP,SÃO PAULO,Gestor de Carteira,,giuliana.argese@arandupartners.com.br,https://www.aranduinvestimentos.com.br,988415751,"Rua Doutor Fernandes Coelho, 85",conjunto 3,5423040,,,PRIVADO,True,7.5,2
TENDÊNCIA WEALTH MANAGEMENT LTDA,11.252.952/0001-19,EM FUNCIONAMENTO NORMAL,2010-02-12,SP,SÃO PAULO,Gestor de Carteira,,jose@asset.tendencia.com.br,www.tendencia.com.br/03.html,38133500,"AV. BRIGADEIRO FARIA LIMA,2092",20 ANDAR SALA 202,1452002,,,PRIVADO,True,7.5,4
"TABOAÇO, NIECKELE E ASSOCIADOS - GESTAO PATRIMONIAL LTDA",05.823.902/0001-41,EM FUNCIONAMENTO NORMAL,2003-10-15,RJ,RIO DE JANEIRO,Gestor de Carteira,,notificacoes@tna.com.br,www.tna.com.br,32059494,AV. ATAULFO DE PAIVA 1351,2º ANDAR,22440034,,,PRIVADO,True,7.5,31
VENTURA FINANCE ADMINISTRADORA DE RECURSOS LTDA.,06.936.805/0001-28,EM FUNCIONAMENTO NORMAL,2009-05-20,SP,SÃO PAULO,Gestor de Carteira,,cferrari@ventura.adm.br,www.venturafinance.com.br,30242000,"AV. DRA. RUTH CARDOSO, 4.777",13º ANDAR,5477902,,,PRIVADO,True,7.5,5
WRIGHT CAPITAL GESTAO DE RECURSOS LTDA,10.639.564/0001-22,EM FUNCIONAMENTO NORMAL,2009-06-26,SP,SÃO PAULO,Gestor de Carteira,,rubens.freitas@wright.capital,http://www.wright.capital/,48835800,"AV. BRIGADEIRO FARIA LIMA, 201",CJ 251,5426100,,,PRIVADO,True,7.5,2
ZERO CONFLICT WEALTH MANAGEMENT LTDA,05.043.746/0001-04,EM FUNCIONAMENTO NORMAL,2002-12-12,SP,SÃO PAULO,Gestor de Carteira,,contato@zeroconflict.com,www.zeroconflict.com,30533514,"R. DO ROCIO, 351",CJ. 22,4552905,,,PRIVADO,True,7.5,9
SPX PRIVATE EQUITY GESTÃO DE RECURSOS LTDA.,10.632.282/0001-01,EM FUNCIONAMENTO NORMAL,2009-07-30,SP,SÃO PAULO,Gestor de Carteira,,legal@spxcapital.com.br,https://www.spxcapital.com/pt/,35087500,AV BRIGADEIRO FARIA LIMA 3732,21º ANDAR,4538132,,,PRIVADO,True,7.5,1
STEN GESTÃO PATRIMONIAL LTDA.,06.332.955/0001-22,EM FUNCIONAMENTO NORMAL,2009-02-12,SP,SÃO PAULO,Gestor de Carteira,,bruno.rodrigues@sten.capital,https://sten.capital/,31982288,"AVENIDA JUSCELINO KUBITSCHEK, 1600","5º ANDAR, CJ 52",4543000,,,PRIVADO,True,7.5,2
NEO PRIVATE EQUITY GESTAO DE RECURSOS LTDA,05.640.380/0001-42,EM FUNCIONAMENTO NORMAL,2003-07-08,SP,SÃO PAULO,Gestor de Carteira,,compliance@neo.com.br,www.neo.com.br,21641100,"AV.BRIGADEIRO FARIA LIMA, 3144, S/N",CJ 41,1451000,,,PRIVADO,True,7.5,4
JERA CAPITAL GESTAO DE RECURSOS LTDA,09.146.756/0001-18,EM FUNCIONAMENTO NORMAL,2007-12-21,SP,SÃO PAULO,Gestor de Carteira,,fnobre@jeracapital.com.br,www.jeracapital.com.br,31814744,RUA OLIMPÍADAS,194/200 - 12º ANDAR,4551000,,,PRIVADO,True,7.5,2
ICATU GESTÃO PATRIMONIAL LTDA,09.481.178/0001-76,EM FUNCIONAMENTO NORMAL,2010-03-11,SP,SÃO PAULO,Gestor de Carteira,,compliance@icatugp.com.br,http://www.icatugp.com.br/,38048651,"RUA JERONIMO DA VEIGA, 45",CONJUNTO 74,4536000,,,PRIVADO,True,7.5,4
INVESTPORT GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,05.784.884/0001-36,EM FUNCIONAMENTO NORMAL,2004-07-15,SP,SÃO PAULO,Gestor de Carteira,,mfrug@investport.com.br,www.investport.com.br,30858262,"Rua Oscar Freire, 379",cj. 141,1426001,,,PRIVADO,True,7.5,6
TURIM 21 INVESTIMENTOS LTDA,04.686.893/0001-21,EM FUNCIONAMENTO NORMAL,2002-01-15,RJ,RIO DE JANEIRO,Gestor de Carteira,,compliance@turimbr.com,http://www.turimbr.com/,22598015,RUA MAJOR RUBENS VAZ,N. 236,22470070,,,PRIVADO,True,7.5,71
PERFIN INFRA ADMINISTRAÇÃO DE RECURSOS,04.232.804/0001-77,EM FUNCIONAMENTO NORMAL,2004-02-04,SP,SÃO PAULO,Gestor de Carteira,,compliance.core@perfin.com.br,http://www.perfin.com.br/,25262401,"Rua Leopoldo Couto Magalhães Júnior, 822",1º,4542000,,,PRIVADO,True,7.5,20
OPPORTUNITY PRIVATE EQUITY GESTORA DE RECURSOS LTDA,03.151.030/0001-97,EM FUNCIONAMENTO NORMAL,1999-10-01,RJ,RIO DE JANEIRO,Gestor de Carteira,,gar@opportunity.com.br,opportunity.com.br,38043700,"RUA VISCONDE DE PIRAJÁ, Nº 351",14º ANDAR (PARTE),22410906,,,PRIVADO,True,7.5,30
PANARY CONSULTORIA E GESTÃO PATRIMONIAL LTDA.,23.992.796/0001-01,EM FUNCIONAMENTO NORMAL,2018-08-06,SP,SÃO PAULO,Gestor de Carteira,,ana@marae.net.br,,30741511,"RUA AMAURI, 255/17º",,1448000,,,PRIVADO,True,7.2,2
ABC CAPITAL MFO GESTÃO DE ATIVOS LTDA.,33.411.319/0001-69,EM FUNCIONAMENTO NORMAL,2020-09-25,MG,BELO HORIZONTE,Gestor de Carteira,,alexandre@abccapitalmfo.com.br,https://abccapitalmfo.com.br/,997474711,Rua Alagoas,Sala 402,30130168,,,PRIVADO,True,7.0,2
EKHO SATOSHI INVESTIMENTOS LTDA.,40.691.728/0001-21,EM FUNCIONAMENTO NORMAL,2022-06-27,SP,SÃO PAULO,Gestor de Carteira,,compliance@ekhofo.com,ekho.family,25332820,"AV. BRIGADEIRO FARIA LIMA, 4300",15º ANDAR,4538132,,,PRIVADO,True,7.0,1
ETRNTY CAPITAL GESTORA DE RECURSOS LTDA,47.949.396/0001-81,EM FUNCIONAMENTO NORMAL,2022-12-08,SP,SÃO PAULO,Gestor de Carteira,,contato@etrnty.com.br,https://www.etrnty.com.br/,34680261,RUA ALVARO ANES,Conjunto 121,5421010,,,PRIVADO,True,7.0,2
EKHO INVESTIMENTOS LTDA.,43.628.554/0001-40,EM FUNCIONAMENTO NORMAL,2022-02-10,SP,SÃO PAULO,Gestor de Carteira,,compliance@ekhofo.com,https://ekho.family,25332820,"AVENIDA BRIGADEIRO FARIA LIMA, 4300",15 ANDAR,4538132,,,PRIVADO,True,7.0,1
MONTE BRAVO GESTÃO PATRIMONIAL LTDA.,49.857.981/0001-87,EM FUNCIONAMENTO NORMAL,2023-09-15,SP,SÃO PAULO,Gestor de Carteira,,contato@mbfo.com.br,www.mbfamilyoffice.com.br,30440408,"RUA MINISTRO JESUÍNO CARDOSO, 454","QUINTO ANDAR, SALA 54.",4544051,,,PRIVADO,True,7.0,10
LEGEND LEGAL ASSETS GESTÃO DE RECURSOS LTDA.,47.098.283/0001-10,EM FUNCIONAMENTO NORMAL,2023-12-11,SP,SÃO PAULO,Gestor de Carteira,,compliance@legendcapital.com.br,www.legendassets.com.br,54647100,"AV. BRIG. FARIA LIMA, 3900",SALA 602 (PARTE),4538132,,,PRIVADO,True,7.0,6
MULTIPLICA WEALTH MANAGEMENT LTDA.,32.003.165/0001-03,EM FUNCIONAMENTO NORMAL,2022-05-19,SP,SÃO PAULO,Gestor de Carteira,,tatiane.campos@grupomultiplica.com.br,https://grupomultiplica.com.br/,25785032,"AVENIDA PAULISTA, 283/14º ANDAR CONJUNTO 141",,1311000,,,PRIVADO,True,7.0,5
HSI GESTORA DE REAL ESTATE PRIVATE EQUITY LTDA.,42.312.440/0001-24,EM FUNCIONAMENTO NORMAL,2022-03-14,SP,SÃO PAULO,Gestor de Carteira,,compliance@hsinvest.com,www.hsinvest.com,31275500,"Avenida Presidente Juscelino Kubitschek, 1400",13º andar,4543000,,,PRIVADO,True,7.0,1
ONE WEALTH MANAGEMENT GESTORA DE RECURSOS LTDA,43.043.121/0001-23,EM FUNCIONAMENTO NORMAL,2022-04-28,SP,SÃO PAULO,Gestor de Carteira,,compliance@investimentos.one,www.onewm.com.br,997183440,"AVENIDA BRIGADEIRO FARIA LIMA, N. 4300","5 ANDAR, CONJ 51",4538132,,,PRIVADO,True,7.0,4
SOW CAPITAL GESTAO DE INVESTIMENTOS LTDA.,45.432.251/0001-83,EM FUNCIONAMENTO NORMAL,2022-06-02,RJ,RIO DE JANEIRO,Gestor de Carteira,,gestao@sow.capital,www.sow.capital,35593525,"AVENIDA ATAULFO DE PAIVA Nº 341, S/N",SALA 303,22440032,,,PRIVADO,True,7.0,7
VOKIN ADMINISTRAÇÃO DE RECURSOS LTDA,14.142.853/0001-72,EM FUNCIONAMENTO NORMAL,2011-10-21,RS,PORTO ALEGRE,Gestor de Carteira,,vokin@vokin.com.br,www.vokin.com.br,30223444,"AV. NILO PEÇANHA, 2825",1701,91330001,,,PRIVADO,True,7.0,2
THE FORTUNE ONE - INVESTIMENTOS E GESTÃO DE RECURSOS LTDA.,43.217.614/0001-32,EM FUNCIONAMENTO NORMAL,2022-01-12,SP,BARUERI,Gestor de Carteira,,institucional@thefortune.one,www.thefortune.one,42106093,"ALAMEDA RIO NEGRO, 1.030/15º ANDAR CJ 1502",,6454000,,,PRIVADO,True,7.0,1
PERFIN EQUITIES ADMINISTRAÇÃO DE RECURSOS LTDA.,43.020.918/0001-05,EM FUNCIONAMENTO NORMAL,2022-05-02,SP,SÃO PAULO,Gestor de Carteira,,compliance.core@perfin.com.br,www.perfin.com.br,25262401,"Rua Leopoldo Couto Magalhães Júnior, 822",1º andar,4542000,,,PRIVADO,True,7.0,22
PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA,19.207.159/0001-00,EM FUNCIONAMENTO NORMAL,2014-07-31,RS,PORTO ALEGRE,Gestor de Carteira,,gestor@privatto.com.br,www.privatto.com.br,33302879,AV. CARLOS GOMES 700,501,90480000,,,PRIVADO,True,7.0,5
PERFIN WEALTH MANAGEMENT LTDA.,43.027.793/0001-45,EM FUNCIONAMENTO NORMAL,2022-05-02,SP,SÃO PAULO,Gestor de Carteira,,compliance@perfin.com.br,www.perfin.com.br,25262421,"Rua Leopoldo Couto Magalhães Júnior, 822",1º andar,4542000,,,PRIVADO,True,7.0,22
SOMMA MULTI-FAMILY OFFICE S.A.,29.247.309/0001-62,EM FUNCIONAMENTO NORMAL,2018-06-20,SC,FLORIANÓPOLIS,Gestor de Carteira,,luiz.osorio@gruposomma.com.br,https://www.sommainvestimentos.com.br/familias/,31711390,"RUA NIRBERTO HAASE, 100",1º ANDAR,88035215,,,PRIVADO,True,6.5,10
GHIA GESTÃO DE RECURSOS LTDA.,35.070.686/0001-71,EM FUNCIONAMENTO NORMAL,2020-12-08,GO,GOIÂNIA,Gestor de Carteira,,bruno@ghiaasset.com.br,www.ghiaasset.com.br,32221919,"Avenida Deputado Jamel Cecílio, S/N","quadra 09, lote 2E, salas 2704, 2705, 2706 e 2707",74810100,,,PRIVADO,True,6.5,1
Future e Legacy Multi Family Office Gestão de Recursos Ltda.,61.095.233/0001-00,EM FUNCIONAMENTO NORMAL,2025-09-08,SP,SÃO PAULO,Gestor de Carteira,,info@flmfo.com,www.flmfo.com,986443303,Rua Galeno de Almeida,Salas 02 e 04,5410030,,,PRIVADO,True,6.0,4
CAFÉ CONSULTORIA E GESTÃO DE PATRIMÔNIO LTDA,50.884.578/0001-26,EM FUNCIONAMENTO NORMAL,2024-11-27,SP,SÃO PAULO,Gestor de Carteira,,mariana@cafeinvest.com.br,www.cafeinvest.com.br,23686342,"Av Brig Faria Lima 1826, S/N",SL 908,1451908,,,PRIVADO,True,6.0,1
ALTERA CAPITAL GESTORA E CONSULTORIA DE INVESTIMENTOS LTDA,49.475.869/0001-81,EM FUNCIONAMENTO NORMAL,2024-09-04,SP,SÃO PAULO,Gestor de Carteira,,igor.cavaca@alteracapital.com.br,www.alteracapital.com.br,42107290,"AV. BRIG. FARIA LIMA, 1485/CJ 51 SL 10","TORRE NORTE, 5º ANDAR",1452002,,,PRIVADO,True,6.0,5
Gamut Gestão Patrimonial Ltda.,49.001.178/0001-46,EM FUNCIONAMENTO NORMAL,2024-10-10,RJ,RIO DE JANEIRO,Gestor de Carteira,,antonio.machado@gamutgp.com.br,https://gamutgp.com.br/,999666545,"Rua Visconde de Carandaí, 20",,22460020,,,PRIVADO,True,6.0,2
STEN MFO GESTÃO DE RECURSOS LTDA,52.508.695/0001-10,EM FUNCIONAMENTO NORMAL,2024-01-23,SP,SÃO PAULO,Gestor de Carteira,,contato@sten.capital,https://sten-mfo.com/,27801125,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, Nº 1600","5º ANDAR, CONJUNTO 52",4543000,,,PRIVADO,True,6.0,12
STRIX CAPITAL GESTÃO DE PATRIMÔNIO LTDA.,52.720.110/0001-21,EM FUNCIONAMENTO NORMAL,2024-02-01,SP,SÃO PAULO,Gestor de Carteira,,fernanda.chamma@strixcapital.com.br,www.strixcapital.com.br,31956452,"RUA IAIÁ, 77/CJ 101",,4542060,,,PRIVADO,True,6.0,7
OP CONSULTORIA E GESTÃO PATRIMONIAL LTDA.,26.207.537/0001-10,EM FUNCIONAMENTO NORMAL,2024-10-14,SP,SÃO PAULO,Gestor de Carteira,,contato@opfinance.com.br,www.opfinance.com.br,23871000,"RUA BANDEIRA PAULISTA, 275/CJ 42",,4532010,,,PRIVADO,True,6.0,3
